mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source
1.84835E+13,1351138273,0,2236.013184,0,247.6999969,28.96594238,-13.53955364,0,gfw
1.84835E+13,1351768144,0,2236.013184,0,0,28.96592712,-13.53956032,0,gfw
1.84835E+13,1352769092,0,2236.013184,0,252.5,28.96593285,-13.53956509,0,gfw
1.84835E+13,1346441220,66646.69531,91283.03125,1.700000048,262.7000122,27.57353592,-14.03096485,1,gfw
1.84835E+13,1352708170,0,2236.013184,0,3.599999905,28.96594048,-13.53959656,0,gfw
1.84835E+13,1351396049,0,2236.013184,0,6.099999905,28.96594238,-13.53954506,0,gfw
1.84835E+13,1346665391,53599.05859,109038.6016,1.100000024,30.20000076,27.64587784,-14.62313461,1,gfw
1.84835E+13,1343521360,1999.950928,75290.91406,0.300000012,99.19999695,28.15777397,-16.8193779,1,gfw
1.84835E+13,1350564004,0,2236.013184,0,70.09999847,28.96595955,-13.53954697,0,gfw
1.84835E+13,1346572913,71845.29688,123564.7656,2.400000095,331.2000122,27.47670746,-14.44674206,1,gfw
1.84835E+13,1352537878,0,2236.013184,0,147.8000031,28.96592712,-13.53958321,0,gfw
1.84835E+13,1352647572,0,2236.013184,0,36.59999847,28.96594048,-13.53960323,0,gfw
1.84835E+13,1346505292,75423.60938,101071.75,1,224.8000031,27.44685555,-14.24659824,1,gfw
1.84835E+13,1347037150,48998.79688,118335.5938,1.100000024,43.29999924,27.66807556,-14.50547314,0.33333334,gfw
1.84835E+13,1352834495,0,2236.013184,0,0,28.96604919,-13.53954506,0,gfw
1.84835E+13,1346533192,70347.40625,120338.2266,0.899999976,241.3000031,27.4930172,-14.4123354,1,gfw
1.84835E+13,1352883955,0,2236.013184,0,264.2999878,28.96593285,-13.53959179,0,gfw
1.84835E+13,1352184936,0,2236.013184,0,106.0999985,28.96590424,-13.53956795,0,gfw
1.84835E+13,1346538076,70453.92969,121244.7031,1.100000024,323.6000061,27.49025154,-14.42053699,1,gfw
1.84835E+13,1351907107,0,2236.013184,0,0,28.96593285,-13.53955364,0,gfw
1.84835E+13,1348623023,0,2236.013184,0,0,28.9659462,-13.53955364,0.16666667,gfw
1.84835E+13,1350757765,0,2236.013184,0,120,28.96603966,-13.53958035,0,gfw
1.84835E+13,1352522782,0,2236.013184,0,0,28.96591759,-13.53955364,0,gfw
1.84835E+13,1352392347,0,2236.013184,0,0,28.96595383,-13.53959847,0,gfw
1.84835E+13,1352480736,0,2236.013184,0,59.79999924,28.96598053,-13.53957653,0,gfw
1.84835E+13,1352348010,0,2236.013184,0,0,28.96596718,-13.53954029,0,gfw
1.84835E+13,1352895975,0,2236.013184,0,173.3999939,28.96595955,-13.53955364,0,gfw
1.84835E+13,1352333670,0,2236.013184,0,109.9000015,28.96592712,-13.53955173,0,gfw
1.84835E+13,1352491071,0,2236.013184,0,356.7999878,28.96598625,-13.53954029,0,gfw
1.84835E+13,1351936969,0,2236.013184,0,301.2999878,28.96592331,-13.53956127,0,gfw
1.84835E+13,1352630763,0,2236.013184,0,341.2999878,28.96598244,-13.5395565,0,gfw
1.84835E+13,1346645851,58820.32422,107445.0234,2,148.6000061,27.61803436,-14.66576481,1,gfw
1.84835E+13,1350459036,0,2236.013184,0,161.6000061,28.96592331,-13.53957176,0,gfw
1.84835E+13,1350977550,0,2236.013184,0,57,28.96590996,-13.5395565,0,gfw
